0,0,D,UNK-NOW,Unknown,Unknown,Unknown,2
29,01d,D,APC-WAR1,Mecklenburg Sheriff Arrest Processing Center Warrant 1,Corrections,Mecklenburg Sheriff Corrections,2
31,01f,D,ARREST,Mecklenburg Sheriff Jail Intake,Corrections,Mecklenburg Sheriff Corrections,2
41,29,D,EVT1 EOC,Mecklenburg Event 1 - EOC,Emergency Ops,Mecklenburg Common/Mutual Aid,2
43,02b,D,EVT2 FIRE,Mecklenburg Event 2 - Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
45,02d,D,EVT3 EMS,Mecklenburg Event 3 - EMS,EMS-Talk,Mecklenburg Common/Mutual Aid,2
47,02f,D,EVT4 POL,Mecklenburg Event 4 - Police,Law Talk,Mecklenburg Common/Mutual Aid,2
49,31,D,EVT5 PW1,Mecklenburg Event 5 - Public Works 1,Public Works,Mecklenburg Common/Mutual Aid,2
51,33,D,EVT6 PW2,Mecklenburg Event 6 - Public Works 2,Public Works,Mecklenburg Common/Mutual Aid,2
53,35,D,EVT7 CFD,Mecklenburg Event 7 - Charlotte Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
55,37,D,EVT8 VFD,Mecklenburg Event 8 - Volunteer Fire,Fire-Talk,Mecklenburg Common/Mutual Aid,2
57,39,D,EVT9 NM,Mecklenburg Event 9 - North Mecklenburg 1,Multi-Talk,Mecklenburg Common/Mutual Aid,2
59,03b,D,EVT10 NM,Mecklenburg Event 10 - North Mecklenburg 2,Multi-Talk,Mecklenburg Common/Mutual Aid,2
61,03d,D,EVT11 STW,Mecklenburg Event 11 - South Towns 1,Multi-Talk,Mecklenburg Common/Mutual Aid,2
63,03f,D,MPD-DISP,Matthews PD Dispatch,Law Dispatch,Matthews Police,2
65,41,D,MPD-PAT1,Matthews PD Patrol 1,Law Talk,Matthews Police,2
67,43,D,MPD-PAT2,Matthews PD Patrol 2,Law Talk,Matthews Police,2
69,45,D,MPD-INV1,Matthews PD Investigations,Law Tac,Matthews Police,2
73,49,D,MPD-TAC1,Matthews PD Tactical 1,Law Tac,Matthews Police,2
75,04b,D,MPD-TAC2,Matthews PD Tactical 2,Law Tac,Matthews Police,2
123,07b,D,NCSHP-2,NCSHP,Law Dispatch,State Highway Patrol,2
129,81,D,POL MA,Mecklenburg Police Mutual Aid,Law Talk,Mecklenburg Common/Mutual Aid,2
131,83,D,FIRE MA,Mecklenburg Fire Mutual Aid,Fire-Talk,Mecklenburg Common/Mutual Aid,2
